N°,NOMBRE,DESCRIPCION,UBICACIÓN,CANTIDAD,ESTADO
462,Libro de actas MNI 2010-2017,,MNI,1,Bueno
463,Libro de actas MNI 1987-2003,,MNI,1,Bueno
464,Manual Iglesia del Nazareno 2017-2021,Literatura,MNI,1,Bueno
465,Historia de la Iglesia del Nazareno en el Perú,Literatura,MNI,1,Bueno
466,El Camino hacia el matrimonio feliz,Literatura,MNI,1,Bueno
467,Guía de Educación Misionera 2011,Literatura,MNI,1,Bueno
468,Guía de Educación Misionera 2017-2018,Literatura,MNI,1,Bueno
469,Guía de Educación Misionera 2002,Literatura,MNI,1,Bueno
470,Cancionero con acordes,Literatura,MNI,1,Bueno
471,La historia más immportante del mundo,Literatura,MNI,1,Bueno
472,Humo que truena,Literatura,MNI,1,Bueno
473,Himnario Gracia y Devoción,,MNI,1,Bueno
474,Himnario Gracia y Devoción,,MNI,1,Bueno
475,Himnario Gracia y Devoción,,MNI,1,Bueno
476,Himnario Gracia y Devoción,,MNI,1,Bueno
477,Anya@Rusia.com,Literatura,MNI,1,Bueno
478,Canasta para ofrenda,,MNI,1,Bueno
479,Canasta para ofrenda,,MNI,1,Bueno
480,Armario,,MNI,1,Bueno
481,Escritorio de oficina,,Oficina Pastoral,1,Bueno
482,Sillón de Oficina,,Oficina Pastoral,1,Bueno
483,Estante Madera,5 repisas,Oficina Pastoral,1,Bueno
484,Estante Melamina,13 repisas,Oficina Pastoral,1,Bueno
485,Lockers de metal,16 cajones,Oficina Pastoral,1,Bueno
486,Sillas de madera,,Oficina Pastoral,2,Bueno
487,Armario de madera,,Oficina Pastoral,2,Bueno
488,Cooler para laptop,,Oficina Pastoral,1,Bueno
489,Laptop,Marca: HP,Oficina Pastoral,1,Bueno
490,Monitor Samsung,,Oficina Pastoral,1,Bueno
491,CPU,Marca: Samsung,Oficina Pastoral,2,Bueno
492,Fuente de poder,,Oficina Pastoral,2,Bueno
493,Web Cam,,Oficina Pastoral,1,Bueno
494,Teclado,Marca: Philips,Oficina Pastoral,1,Bueno
495,Ventilador,Marca: Imaco,Oficina Pastoral,1,Bueno
496,Jarra eléctrica,,Oficina Pastoral,1,Bueno
497,Mouse,Marca: Samsung,Oficina Pastoral,1,Bueno
498,Tacho de basura, Pequeño de pie,Oficina Pastoral,1,Bueno
499,Reloj digital,,Oficina Pastoral,1,Bueno
500,Pizarra mediana,,Oficina Pastoral,1,Bueno
501,Sillas Blancas,,Oficina Pastoral,6,Bueno
502,Impresora,Marca: Epson L3150,Oficina Pastoral,1,Bueno
503,Sillas Individuales,Estructura de metal con trablero y respaldar de madera,Salon de adolescentes,9,Bueno
504,Pizarra acrilica,,Salon de adolescentes,1,Bueno
505,Cesto de ropa,Multiusos redondo - Marca: Rey,Salon de adolescentes,1,Bueno
506,Cesto gigante,Marca: Trebol,Salon de adolescentes,1,Bueno
507,Ventilador,Marca: Khor,Salon de adolescentes,1,Bueno
508,Pizarra acrilica,,Salon de juntas,1,Bueno
509,Mesas blancas,,Salon de juntas,6,Bueno
510,Sillas amarillas,Madera,Salon de juntas,22,Bueno
511,Silla oficina,,Salon de juntas,1,Bueno
512,TV Daewoo,,Salon de juntas,1,Bueno
513,DVD,Marca: Samsung,Salon de juntas,1,Bueno
514,Rack TV y DVD,,Salon de juntas,1,Bueno
515,Alacena,,Salon de juntas,1,Bueno
516,Armario Tesoreria,Madera,Salon de juntas,1,Bueno
517,Tacho Rey,Buzon #20,Salon de juntas,1,Bueno
518,Trípode,Marca: Roadtrip,Salón de reuniones,1,Bueno
519,Micrófono de estudio (Transmisión),Marca: BEHRINGER color dorado,Salón de reuniones,1,Bueno
520,Set de Luces de fotografía,Marca: Genérico,Salón de reuniones,1,Bueno
521,Mesa roja,,Salon DNI,1,Bueno
522,Armario rojo,(locker),Salon DNI,1,Bueno
523,Armario DNI,Material: Melamina,Salon DNI,1,Bueno
524,Pizarra acrilica,,Salon Luminares de Cristo,1,Bueno
525,Mesas amarillas,Hechas de madera,Salon Luminares de Cristo,5,Bueno
526,Sillas amarillas,Hechas de madera,Salon Luminares de Cristo,5,Bueno
527,Ventilador,Marca: Imaco,Salon Luminares de Cristo,1,Aceptable
528,Sillas madera,Para maestros,Salon Luminares de Cristo,2,Bueno
529,Caja,Botiquin,Salon Luminares de Cristo,1,Aceptable
530,Pizarra acrilica,,Salon Mas que vencedores,1,Bueno
531,Mesa blanca,Uso del maestro,Salon Mas que vencedores,1,Bueno
532,Sillas Individuales,Estructura de metal con trablero y respaldar de madera,Salon Mas que vencedores,12,Bueno
533,Ventilador,Marca: Miray VMP-521,Salon Mas que vencedores,1,Bueno
534,Armario de madera,Puerta vidrio y madera,Salon Mas que vencedores,1,Bueno
535,Papelera Cosmos,Marca: Rey - tamaño: #15,Salon Mas que vencedores,1,Bueno
536,Silla madera,,Secretaria,1,Bueno
537,Mesa pequeña,,Secretaria,1,Bueno
538,Estante de pared,2 puertas,Secretaria,1,Bueno
539,Lockers de metal,4 cajones,Secretaria,1,Bueno
540,Gillotina,,Secretaria,1,Bueno
541,Llavero,Madera,Secretaria,1,Bueno
542,Fotocopiadora,Marca: Konica Minolta Bizhub 215,Secretaria,1,Bueno
543,Soporte de pared,Pequeño,Secretaria,1,Bueno
544,Telefono,Gigaset,Secretaria,1,Bueno
545,Mesa blanca,Para fotocopiadora,Secretaria,1,Bueno
546,Mesa de vidrio,Para computadora e impresora,Secretaria,1,Bueno
547,Monitor Samsung,SyncMaster 9328w,Secretaria,1,Bueno
548,Impresora,Marca: Brother DCP-T7200w,Secretaria,1,Bueno
549,Teclado,Marca: Philips,Secretaria,1,Bueno
550,Mouse,Marca: Philips,Secretaria,1,Bueno
551,CPU,Marca: Cooler Master,Secretaria,1,Bueno
552,Silla de ofcina,,Secretaria,1,Bueno
553,Basurero,Marca: Reyplast,Secretaria,1,Bueno
554,Ventilador,Marca: Imaco,Secretaria,1,Bueno
555,Radio,Marca: Philips,Secretaria,1,Bueno
556,Estante Melamina,5 repisas,Secretaria,1,Bueno
557,Perforador,Marca: Artesco,Secretaria,1,Bueno
558,Estante de metal gris,2 puertas,Secretaria,1,Bueno
559,Banca acolchada,4 asientos,Secretaria,1,Bueno
560,Cesto Nadine grande,Marca: Reyplast,Secretaria,1,Bueno
561,Espejo,,Secretaria,1,Bueno
562,Bancas,Madera,Templo Chico,4,Aceptable
563,Diezmero,Madera,Templo Chico,1,Bueno
564,Ventilador,Marca: Miray VMP-521,Templo Chico,4,Bueno
565,Mesa,Madera,Templo Chico,1,Bueno
566,Pulpito,Madera - Color: Azul,Templo Chico,1,Bueno
567,Consola de sonido,Marca: Lexsen,Templo Chico,1,Utilizable
568,Parlante de Sonido,,Templo Chico,1,Bueno
569,Armario MED,Material: Melamina,Templo Chico,1,Bueno
570,Armario MED,Material: Madera,Templo Chico,1,Bueno
571,Armario MNI,Material: Melamina,Templo Chico,1,Bueno
572,Armario Ujieres,Material: Melamina,Templo Chico,1,Bueno
573,Escaleras metal,Material: Acero - Escalones: madera,Templo principal,2,Bueno
574,Altar,Material: Madera,Templo principal,2,Bueno
575,Pulpito,Material: madera - Color: Azul,Templo principal,1,Bueno
576,Bancas,Material: Cedro,Templo principal,4,Bueno
577,Bancas rayadas,Sin respaldar,Templo principal,2,Bueno
578,Tachos de basura,Colores: Blanco - Marron y Azul,Templo principal,3,Bueno
579,Caballetes,Cemento,Templo principal,4,Bueno
580,Periodicos murales,,Templo principal,3,Bueno
581,Tarjetero de diezmos,,Templo principal,1,Bueno
582,Escalera metal gigante,,Templo principal,1,Bueno
583,Ventiladores,Marca: Wurden,Templo principal,6,Bueno
584,Guitarra,Marrón - cuerdas de nylon,Ujieres,1,Bueno
585,Guitarra,Negra - cuerdas de nylon,Ujieres,1,Bueno
586,Charango,Madera,Ujieres,1,Bueno
587,Bandolina,Estuche negro,Ujieres,1,Bueno
588,Quena,Color verde,Ujieres,1,Bueno
589,Quena,Color madera,Ujieres,1,Bueno
590,Palo de lluvia,,Ujieres,1,Bueno
591,Zampoña,Mediana,Ujieres,1,Bueno
592,Zampoña,Grande,Ujieres,1,Bueno
593,Bombo,Color madera claro,Ujieres,1,Bueno
594,Bombo,Color madera oscuro,Ujieres,1,Bueno
595,Armario,Madera - 2 puertas y 8 cajones,Ujieres,7,Bueno
596,Ternos,Mujeres y hombres,Ujieres,3,Bueno
597,Polos ,,Ujieres,3,Bueno
598,Porta-altar,,Ujieres,1,Bueno
599,Jarra eléctrica,Marca: actika,Ujieres,12,Bueno
600,Juego de vasos,,Ujieres,1,Bueno
